iter,grad_match
1,1680.15417480
2,1297.49279785
3,567.08673096
4,2776.60107422
5,628.76177979
6,853.70062256
7,786.14996338
8,785.75500488
9,785.56207275
10,741.61187744
11,736.88482666
12,691.86962891
13,639.03497314
14,600.50854492
15,537.92437744
16,466.64346313
17,413.60232544
18,385.22601318
19,427.50485229
20,470.96844482
21,433.07379150
22,375.19769287
23,356.91354370
24,355.96218872
25,354.81451416
26,355.26284790
27,353.43820190
28,349.89929199
29,345.14102173
30,337.36935425
31,328.46102905
32,320.54711914
33,314.88363647
34,310.56079102
35,309.82894897
36,311.16372681
37,313.50744629
38,313.52700806
39,311.25158691
40,308.40936279
41,305.88711548
42,304.04067993
43,303.17968750
44,303.95956421
45,304.06350708
46,303.32778931
47,303.29092407
48,303.26190186
49,303.23660278
50,302.92480469
51,302.43670654
52,301.71759033
53,301.21661377
54,301.01272583
55,301.34234619
56,301.28683472
57,301.35241699
58,301.43804932
59,301.31527710
60,301.05941772
61,300.77981567
62,300.64584351
63,299.85913086
64,299.38455200
65,299.11477661
66,299.07260132
67,299.03564453
68,299.18621826
69,298.93850708
70,298.83709717
71,298.59069824
72,298.43945312
73,298.31076050
74,297.85498047
75,297.84674072
76,297.68496704
77,297.44012451
78,297.13378906
79,297.16220093
80,296.98306274
81,297.02114868
82,296.90866089
83,296.72467041
84,296.40878296
85,296.33462524
86,296.28469849
87,296.24456787
88,296.13864136
89,296.07162476
90,295.90097046
91,296.24505615
92,295.85852051
93,295.70730591
94,295.43124390
95,295.38409424
96,295.49496460
97,295.38357544
98,295.56365967
99,295.27386475
100,295.46429443
101,295.25100708
102,295.13537598
103,295.24453735
104,295.16964722
105,295.14770508
106,295.20703125
107,295.13803101
108,295.36120605
109,295.06155396
110,294.99563599
111,294.97479248
112,294.88708496
113,294.78347778
114,294.71661377
115,294.68048096
116,294.60717773
117,294.65155029
118,294.52780151
119,294.56863403
120,294.52066040
121,294.42840576
122,294.44000244
123,294.40707397
124,294.31134033
125,294.27890015
126,294.25677490
127,294.15176392
128,294.12960815
129,294.14202881
130,294.07705688
131,294.01803589
132,294.00018311
133,293.96084595
134,293.96057129
135,293.97042847
136,293.92880249
137,293.90802002
138,293.91412354
139,293.91561890
140,293.94427490
141,293.89837646
142,293.85873413
143,293.88980103
144,293.86184692
145,293.84460449
146,293.78866577
147,293.67160034
148,293.64279175
149,293.65585327
150,293.63674927
151,293.63244629
152,293.64224243
153,293.62216187
154,293.60797119
155,293.61474609
156,293.57467651
157,293.52191162
158,293.57318115
159,293.49035645
160,293.36102295
161,293.38323975
162,293.31719971
163,293.26892090
164,293.24169922
165,293.14489746
166,292.76940918
167,292.85241699
168,292.88751221
169,292.86245728
170,292.84179688
171,292.61334229
172,292.66201782
173,292.61297607
174,292.54797363
175,292.52929688
176,292.43365479
177,292.39739990
178,292.39456177
179,292.25988770
180,292.12377930
181,292.12945557
182,292.13552856
183,292.10427856
184,292.07324219
185,292.04483032
186,292.06607056
187,292.03353882
188,291.91879272
189,291.85781860
190,291.79272461
191,291.74145508
192,291.72467041
193,291.70367432
194,291.66503906
195,291.64981079
196,291.58804321
197,291.54907227
198,291.56631470
199,291.45687866
200,291.41018677
201,291.57928467
202,291.46520996
203,291.40155029
204,291.38580322
205,291.35314941
206,291.38146973
207,291.33679199
208,291.40841675
209,291.43844604
210,291.13922119
211,291.33770752
212,291.30032349
213,291.29913330
214,291.24896240
215,291.26837158
216,291.04205322
217,290.99191284
218,291.22579956
219,291.30630493
220,291.19375610
221,290.87863159
222,290.86859131
223,290.75488281
224,290.92245483
225,290.87014771
226,290.80264282
227,290.48406982
228,290.37875366
229,290.34454346
230,290.60406494
231,290.53836060
232,290.40457153
233,289.97943115
234,289.97943115
235,289.92358398
236,290.28445435
237,290.17810059
238,290.13662720
239,289.83245850
240,289.75988770
241,289.60177612
242,289.96060181
243,289.93063354
244,289.62472534
245,289.63125610
246,289.55453491
247,289.55917358
248,289.55227661
249,289.95889282
250,289.58532715
251,289.57901001
252,289.11212158
253,288.93759155
254,288.77301025
255,288.71520996
256,288.41198730
257,288.31622314
258,288.18572998
259,288.10900879
260,287.93249512
261,287.84854126
262,287.78887939
263,287.75744629
264,287.82058716
265,287.79650879
266,287.75643921
267,287.69226074
268,287.68484497
269,287.65426636
270,287.60610962
271,287.55850220
272,287.66647339
273,287.43463135
274,287.47723389
275,287.33157349
276,287.25048828
277,287.33172607
278,287.40280151
279,287.20825195
280,287.10739136
281,287.04290771
282,286.96292114
283,286.88482666
284,286.99783325
285,286.96026611
286,287.03601074
287,287.02297974
288,286.97351074
289,287.01239014
290,286.93862915
291,286.93338013
292,286.94732666
293,286.91577148
294,287.07720947
295,287.07550049
296,287.01873779
297,287.05078125
298,286.98919678
299,286.95434570
300,287.07192993
301,287.05120850
302,287.19284058
303,287.03411865
304,286.85269165
305,286.95022583
306,287.26409912
307,287.20501709
308,286.89996338
309,286.88116455
310,286.75015259
311,287.10208130
312,286.76376343
313,286.64822388
314,286.61044312
315,286.60711670
316,286.68951416
317,287.09936523
318,286.26483154
319,286.26199341
320,286.24954224
321,286.16262817
322,286.10723877
323,286.11517334
324,286.28430176
325,286.27453613
326,286.32882690
327,286.15554810
328,286.08251953
329,286.12524414
330,286.11218262
331,286.18457031
332,285.78030396
333,285.46679688
334,285.37084961
335,285.29321289
336,285.32495117
337,285.23849487
338,285.16128540
339,285.14227295
340,285.09347534
341,285.10391235
342,284.97360229
343,285.16790771
344,285.06146240
345,285.05032349
346,284.97036743
347,284.94848633
348,284.75042725
349,284.76577759
350,284.76458740
351,284.61367798
352,284.58050537
353,284.44943237
354,284.32495117
355,284.23367310
356,284.10278320
357,283.98800659
358,283.86495972
359,284.25109863
360,283.75946045
