sigma,round,test_acc,epsilon
0.0,1,0.0145,inf
0.0,2,0.0140,inf
0.0,3,0.0135,inf
0.0,4,0.0170,inf
0.0,5,0.0205,inf
0.0,6,0.0240,inf
0.0,7,0.0345,inf
0.0,8,0.0330,inf
0.5,1,0.0115,8.7118
0.5,2,0.0105,10.2384
0.5,3,0.0125,11.4561
0.5,4,0.0100,12.4978
0.5,5,0.0090,13.4136
0.5,6,0.0160,14.2673
0.5,7,0.0115,15.1054
0.5,8,0.0170,15.8167
1.0,1,0.0100,1.3550
1.0,2,0.0090,1.5190
1.0,3,0.0070,1.6622
1.0,4,0.0070,1.7947
1.0,5,0.0075,1.9200
1.0,6,0.0070,2.0395
1.0,7,0.0085,2.1546
1.0,8,0.0095,2.2660
2.0,1,0.0085,0.2921
2.0,2,0.0100,0.3645
2.0,3,0.0060,0.4369
2.0,4,0.0055,0.5043
2.0,5,0.0080,0.5646
2.0,6,0.0085,0.6197
2.0,7,0.0085,0.6708
2.0,8,0.0065,0.7186
