資料集,準確率
===== original =====,
original,30.00%
===== pixel =====,
pixel_b2,30.00%
pixel_b4,30.00%
pixel_b8,28.75%
pixel_b16,18.75%
===== blur =====,
blur_k5,30.00%
blur_k15,32.50%
blur_k45,51.25%
blur_k95,66.25%
blur_k99,65.00%
===== dp_original =====,
dp_original_eps0.5,6.25%
dp_original_eps1.0,12.50%
dp_original_eps5.0,25.00%
dp_original_eps10.0,27.50%
dp_original_eps25.0,30.00%
dp_original_eps50.0,30.00%
dp_original_eps100.0,30.00%
===== dp_pixel_b4 =====,
dp_pixel_b4_eps0.1,1.25%
dp_pixel_b4_eps0.5,12.50%
dp_pixel_b4_eps1.0,16.25%
dp_pixel_b4_eps5.0,23.75%
dp_pixel_b4_eps10.0,25.00%
dp_pixel_b4_eps25.0,30.00%
dp_pixel_b4_eps50.0,30.00%
dp_pixel_b4_eps100.0,30.00%
===== dp_blur_k15 =====,
dp_blur_k15_eps0.1,3.75%
dp_blur_k15_eps0.5,11.25%
dp_blur_k15_eps1.0,13.75%
dp_blur_k15_eps5.0,26.25%
dp_blur_k15_eps10.0,28.75%
dp_blur_k15_eps25.0,30.00%
dp_blur_k15_eps50.0,33.75%
dp_blur_k15_eps100.0,32.50%
===== dp_pixel_b16 =====,
dp_pixel_b16_eps0.1,16.25%
dp_pixel_b16_eps0.5,16.25%
dp_pixel_b16_eps1.0,17.50%
dp_pixel_b16_eps5.0,17.50%
dp_pixel_b16_eps10.0,17.50%
dp_pixel_b16_eps25.0,17.50%
dp_pixel_b16_eps50.0,17.50%
dp_pixel_b16_eps100.0,18.75%
===== dp_blur_k99 =====,
dp_blur_k99_eps0.1,63.75%
dp_blur_k99_eps0.5,67.50%
dp_blur_k99_eps1.0,67.50%
dp_blur_k99_eps5.0,27.50%
dp_blur_k99_eps10.0,40.00%
dp_blur_k99_eps25.0,53.75%
dp_blur_k99_eps50.0,63.75%
dp_blur_k99_eps100.0,67.50%
===== 基準值 (Baseline) =====,
隨機猜測 (Random Guess),2.50%
