資料集,準確率_orig,準確率_adaptive_blur_k99,準確率_adaptive_pixel_b8
===== original =====,,,
original,83.75%,22.50%,76.25%
===== pixel =====,,,
pixel_b2,85.00%,23.75%,76.25%
pixel_b4,83.75%,21.25%,80.00%
pixel_b8,70.00%,22.50%,83.75%
pixel_b16,22.50%,22.50%,32.50%
===== blur =====,,,
blur_k5,85.00%,23.75%,72.50%
blur_k15,87.50%,27.50%,61.25%
blur_k45,52.50%,42.50%,40.00%
blur_k95,28.75%,60.00%,13.75%
blur_k99,28.75%,60.00%,12.50%
===== dp_original =====,,,
dp_original_eps0.5,2.50%,5.00%,6.25%
dp_original_eps1.0,5.00%,5.00%,7.50%
dp_original_eps5.0,77.50%,18.75%,41.25%
dp_original_eps10.0,80.00%,22.50%,63.75%
dp_original_eps25.0,86.25%,21.25%,75.00%
dp_original_eps50.0,82.50%,23.75%,76.25%
dp_original_eps100.0,82.50%,22.50%,77.50%
===== dp_pixel_b4 =====,,,
dp_pixel_b4_eps0.1,2.50%,1.25%,1.25%
dp_pixel_b4_eps0.5,2.50%,3.75%,7.50%
dp_pixel_b4_eps1.0,6.25%,5.00%,7.50%
dp_pixel_b4_eps5.0,76.25%,16.25%,46.25%
dp_pixel_b4_eps10.0,82.50%,21.25%,65.00%
dp_pixel_b4_eps25.0,86.25%,22.50%,77.50%
dp_pixel_b4_eps50.0,85.00%,21.25%,77.50%
dp_pixel_b4_eps100.0,85.00%,21.25%,78.75%
===== dp_blur_k15 =====,,,
dp_blur_k15_eps0.1,2.50%,2.50%,3.75%
dp_blur_k15_eps0.5,3.75%,2.50%,5.00%
dp_blur_k15_eps1.0,5.00%,5.00%,12.50%
dp_blur_k15_eps5.0,73.75%,15.00%,41.25%
dp_blur_k15_eps10.0,86.25%,25.00%,70.00%
dp_blur_k15_eps25.0,86.25%,26.25%,68.75%
dp_blur_k15_eps50.0,87.50%,27.50%,67.50%
dp_blur_k15_eps100.0,87.50%,27.50%,67.50%
===== dp_pixel_b16 =====,,,
dp_pixel_b16_eps0.1,7.50%,8.75%,10.00%
dp_pixel_b16_eps0.5,28.75%,20.00%,28.75%
dp_pixel_b16_eps1.0,28.75%,20.00%,26.25%
dp_pixel_b16_eps5.0,32.50%,18.75%,20.00%
dp_pixel_b16_eps10.0,26.25%,21.25%,27.50%
dp_pixel_b16_eps25.0,23.75%,21.25%,31.25%
dp_pixel_b16_eps50.0,22.50%,22.50%,32.50%
dp_pixel_b16_eps100.0,23.75%,22.50%,33.75%
===== dp_blur_k99 =====,,,
dp_blur_k99_eps0.1,27.50%,61.25%,15.00%
dp_blur_k99_eps0.5,28.75%,61.25%,12.50%
dp_blur_k99_eps1.0,28.75%,61.25%,12.50%
dp_blur_k99_eps5.0,22.50%,27.50%,18.75%
dp_blur_k99_eps10.0,30.00%,38.75%,26.25%
dp_blur_k99_eps25.0,26.25%,51.25%,18.75%
dp_blur_k99_eps50.0,26.25%,58.75%,15.00%
dp_blur_k99_eps100.0,28.75%,62.50%,15.00%
===== dp_pixel_b8 =====,,,
dp_pixel_b8_eps0.1,2.50%,3.75%,5.00%
dp_pixel_b8_eps0.5,2.50%,5.00%,3.75%
dp_pixel_b8_eps1.0,6.25%,6.25%,11.25%
dp_pixel_b8_eps5.0,61.25%,16.25%,50.00%
dp_pixel_b8_eps10.0,66.25%,15.00%,72.50%
dp_pixel_b8_eps25.0,68.75%,20.00%,82.50%
dp_pixel_b8_eps50.0,68.75%,20.00%,82.50%
dp_pixel_b8_eps100.0,68.75%,21.25%,81.25%
===== 基準值 (Baseline) =====,,,
隨機猜測 (Random Guess),2.50%,2.50%,2.50%
